,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
356,4005.0,4,4.98,1,1,1,1,0,1.0,1.0,1.8907746695655685
357,4298.0,6,4.94,1,1,1,1,0,2.0,1.0,1.124021486839363
358,2757.0,5,4.88,0,1,1,0,0,1.0,0.7,3.1105179016276145
359,3629.0,4,4.93,1,1,1,1,0,1.0,1.0,1.4387500690320767
360,1664.0,2,4.71,1,1,1,0,0,1.0,1.0,1.531400066200104
361,2102.0,4,4.8,1,1,1,0,0,1.0,1.0,0.933318271318858
363,2182.0,6,4.84,0,1,1,0,0,2.0,1.0,2.180554798325827
364,6066.0,6,4.92,1,1,1,0,0,1.0,1.0,1.1448529040443594
366,1979.0,3,4.89,0,1,1,0,0,1.0,1.0,3.991888881769147
368,1128.0,2,4.8,1,1,1,1,1,1.5,1.0,1.5155511284959753
369,1619.0,2,4.84,1,1,1,1,1,1.5,1.0,1.5214395660965343
370,1292.0,6,4.82,0,1,1,0,0,1.0,1.0,1.1063544730997388
371,1746.0,2,4.97,0,1,1,1,0,1.0,1.0,1.7657957322852167
372,3923.0,3,4.61,0,1,1,0,0,1.5,1.0,4.887758789777317
373,981.0,2,4.93,0,1,1,0,0,1.0,1.0,1.818206547361096
375,1177.0,2,4.96,1,1,1,0,1,1.0,1.0,2.5975429225264604
376,2084.0,4,4.86,1,1,1,1,0,1.0,1.0,0.7325041236317491
377,2273.0,4,5.0,0,1,1,1,0,1.0,1.0,1.7414313022858512
378,1279.0,3,4.82,1,1,1,1,0,1.0,1.0,2.0343069678943273
379,933.0,3,4.61,0,1,1,0,0,1.5,0.5,4.212508364223137
380,2000.0,4,4.77,0,1,1,0,0,1.0,1.0,5.293720570010767
381,2273.0,4,4.5,0,1,1,1,0,1.0,1.0,1.6520984831060583
382,2273.0,4,5.0,0,1,1,1,0,1.0,1.0,1.6556529472526662
384,1743.0,2,4.7,1,1,1,1,0,1.0,1.0,0.8995037769410342
389,2708.0,4,4.86,0,1,1,1,0,1.0,1.0,1.9856821186417852
390,1223.0,6,4.49,0,1,1,0,0,1.0,1.0,4.1489820615101625
391,1349.0,2,4.63,1,1,1,0,0,1.0,1.0,1.851775163849541
392,2932.0,5,4.5,1,1,1,0,0,1.0,1.0,2.7896606846692253
393,2925.0,3,4.86,0,1,1,1,0,1.0,0.8,1.49023656013537
394,6841.0,9,4.93,0,1,1,0,0,2.5,1.0,1.5750981021416242
395,1030.0,2,4.9,1,1,1,0,0,1.0,1.0,0.897910330944031
396,1258.0,3,4.78,1,1,1,0,0,1.5,1.0,0.4968331989273476
397,3186.0,3,4.95,1,1,1,1,0,1.0,1.0,1.667608164111975
399,2543.0,4,4.69,0,1,1,0,0,1.0,1.0,6.65174477080008
400,2680.0,2,4.89,1,1,1,0,0,1.5,1.0,2.1474038695711597
401,3801.0,3,4.96,1,1,1,0,0,1.0,1.0,2.9880245938167325
402,981.0,2,4.68,0,1,1,0,0,1.0,1.0,6.109489609434605
403,1765.0,2,4.82,1,1,1,1,0,1.0,1.0,0.5325837526738092
404,3023.0,4,4.9,1,1,1,0,0,1.0,1.0,1.918790915110319
405,3331.0,2,4.98,0,1,1,1,0,1.0,1.0,2.0473623613114245
406,4046.0,5,4.53,0,1,1,0,0,1.0,1.0,1.432799317489576
408,2337.0,4,4.83,0,1,1,0,1,1.5,1.0,1.5233206032905173
410,3678.0,2,4.69,0,1,1,0,0,1.0,1.0,7.155378463253588
411,5195.0,8,4.92,1,1,1,0,0,1.5,1.0,1.8148398292385466
412,4703.0,6,4.96,1,1,1,0,0,2.0,1.0,1.7480912664894397
414,3240.0,4,5.0,1,1,1,1,0,1.0,1.0,0.7229315597925141
415,1986.0,2,4.9,1,1,1,0,1,1.0,1.0,1.106257904238239
417,1650.0,4,4.86,0,1,1,0,0,1.0,1.0,0.7687136956511794
418,2026.0,4,4.89,1,1,1,1,0,1.0,1.0,0.7019067757296745
419,2872.0,7,4.94,1,1,1,1,0,1.0,1.0,1.1415390386108661
420,2673.0,5,4.96,1,1,1,1,0,1.0,1.0,1.8596786417228222
422,2102.0,2,4.61,0,1,1,0,0,1.5,1.0,3.4873434021309246
423,1701.0,2,4.68,1,1,1,0,0,3.0,1.0,5.3114668618105165
424,3657.0,2,4.97,1,1,1,0,0,1.0,1.0,2.8402103642435335
425,3318.0,4,4.82,1,1,1,1,0,1.0,1.0,0.8073848119956017
426,1839.0,5,4.82,0,1,1,0,0,1.0,1.0,0.4387584000735687
